Time UTC,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
2016-08-06T19,3.375385865,1022.198343,29.22571184,7.308405998,11.68350819,1.439997223,2.25993474,4.318603879
2016-08-06T20,3.382202667,1022.21085,29.2537263,7.128819444,11.73107806,1.495941667,2.912694444,4.330481116
2016-08-06T21,3.38871675,1022.288301,29.34520293,7.137855556,11.69441917,1.485222222,2.469451389,4.289154533
2016-08-06T22,3.350203889,1022.080756,29.05467803,7.160008333,11.59389056,1.947533333,2.240770833,4.243766689
2016-08-06T23,3.368876612,1022.348453,29.36203961,7.356883008,11.43165933,2.115147632,1.87264624,4.120569668
2016-08-07T00,3.382107757,1022.505403,29.54457135,8.069919085,11.36265988,1.798244978,1.87555106,4.055588952
2016-08-07T01,3.385946793,1022.5788,29.6233227,8.76981874,11.31038873,1.621059677,2.106567206,4.019834347
2016-08-07T02,3.388465434,1022.637747,29.68518676,9.382508343,11.26348276,1.62538376,1.989036429,3.975693376
2016-08-07T03,3.389362768,1022.624014,29.67180708,9.697282094,11.29091117,1.546424394,2.171539961,3.971179237
2016-08-07T04,3.388919699,1022.562519,29.60935656,9.603072423,11.36337493,1.64935376,1.821845404,4.005384597
2016-08-07T05,3.403582046,1022.249726,29.32994666,9.300764101,11.89569186,1.929644346,2.308627396,4.436885899
2016-08-07T06,3.412949167,1022.212213,29.31375945,8.87705,12.02786,2.245088889,2.662229167,4.545512888
2016-08-07T07,3.38891206,1022.636182,29.6888631,8.488901895,11.26492113,1.455635452,1.587980769,3.898950314
2016-08-07T08,3.388715017,1022.592853,29.64598339,8.200536913,11.31589122,1.364670022,1.703642338,3.838446773
2016-08-07T09,3.388175148,1022.551876,29.6041959,8.067835883,11.3613605,1.379649513,2.065215577,3.901215006
2016-08-07T10,3.382129408,1022.598067,29.63813585,8.032505574,11.24602564,1.4043534,1.959057971,3.891587318
2016-08-07T11,3.353330017,1022.239532,29.21666809,7.999338521,11.42511034,1.656837132,2.031795442,4.032421082
2016-08-07T12,3.350274103,1022.390461,29.36131544,8.10959361,11.20551626,1.529159193,1.560909473,3.857986873
2016-08-07T13,3.366066481,1022.540168,29.54371911,8.500217331,11.16900892,1.441643912,1.552493731,3.851731214
2016-08-07T14,3.366428555,1022.584622,29.58771683,8.850276074,11.11839069,1.38329894,1.70690184,3.820239965
2016-08-07T15,3.374088011,1022.662973,29.68201085,9.047134454,11.09387059,1.391661064,2.013172269,3.830647682
2016-08-07T16,3.372999888,1022.560851,29.57710808,8.946601453,11.21125014,1.394944103,1.851697876,3.905696363
2016-08-07T17,3.386525795,1022.368497,29.41442988,8.629866146,11.5806715,1.54216676,1.783672616,4.234269577
2016-08-07T18,3.394573595,1022.34142,29.40701461,8.180175243,11.68889903,1.655399166,1.955257302,4.414211246
2016-08-07T19,3.407948111,1021.889937,28.98837182,7.777391667,12.38640167,1.38165,2.806590278,5.017944094
2016-08-07T20,3.398066,1022.139489,29.2151076,7.518488889,11.97336028,1.294288889,2.572243056,4.749035191
2016-08-07T21,3.392101111,1022.185879,29.24862197,7.472227159,11.85801611,1.276023327,3.080949736,4.529638579
2016-08-07T22,3.38373149,1022.276883,29.32131348,7.534777654,11.66386993,1.471642579,2.764084213,4.364948008
2016-08-07T23,3.355525431,1022.029945,29.01334872,7.585380767,11.71157615,1.85577821,2.753272651,4.430953749
2016-08-08T00,3.37148988,1022.270335,29.28680611,7.893266611,11.55850236,1.580041701,2.796455379,4.28789571
2016-08-08T01,3.371877564,1022.392039,29.40669483,8.537860128,11.41130621,1.535385901,2.610239621,4.14908035
2016-08-08T02,3.37897043,1022.477745,29.50523837,9.114245388,11.37338513,1.786995528,2.480401062,4.124511731
2016-08-08T03,3.382324895,1022.566531,29.59963633,9.560525286,11.2957544,1.34583962,2.269586477,4.026904472
2016-08-08T04,3.382761352,1022.509818,29.54294141,9.691043406,11.37210629,1.493519755,2.308736784,4.061393808
2016-08-08T05,3.38578719,1022.524993,29.56546886,9.4968518,11.38046832,1.481286631,1.82451856,4.046231617
2016-08-08T06,3.394175354,1022.332335,29.39205827,9.132070019,11.70104307,2.073542651,2.215518199,4.333614456
2016-08-08T07,3.397250319,1022.083107,29.15171909,8.72177173,12.04406193,1.656356568,2.830984449,4.624954307
2016-08-08T08,3.394776208,1022.274387,29.33886057,8.334241667,11.77795111,1.382602778,2.164548611,4.267567606
2016-08-08T09,3.396214361,1022.111906,29.18175207,8.071338889,11.9948825,1.349441667,2.728055556,4.383618083
2016-08-08T10,3.404760816,1021.839905,28.93091731,7.916642599,12.42133435,1.450252708,4.17066787,4.911405508
2016-08-08T11,3.393570777,1021.96707,29.03220244,7.893486111,12.15314333,1.475336111,3.059951389,4.670479348
2016-08-08T12,3.356251874,1021.87785,28.86214103,7.858792002,11.91516273,1.65845043,2.473000555,4.463050938
2016-08-08T13,3.364812167,1022.278449,29.27999035,8.038525,11.48567583,1.651608333,1.962479167,4.146166754
2016-08-08T14,3.367621768,1022.403645,29.40973507,8.4458938,11.35571282,1.667686961,1.799152071,4.026050787
2016-08-08T15,3.370633936,1022.434089,29.44531011,8.755642023,11.3475214,1.719933296,2.133143413,4.032507023
2016-08-08T16,3.375560056,1022.521112,29.54256686,8.921348189,11.28539721,1.720520891,2.676887187,3.976860211
2016-08-08T17,3.375158136,1022.385639,29.40600846,8.802222531,11.45186676,1.404175243,2.280048679,4.080123651
2016-08-08T18,3.3773045,1022.010176,29.03783314,8.540255556,11.95062556,1.696769444,2.3971875,4.520359968
2016-08-08T19,3.371991308,1021.179629,28.20886068,8.210263816,12.97568564,1.783360178,2.751235768,5.494317718
2016-08-08T20,3.363193167,1020.50905,27.53930537,7.954061111,13.77816889,1.382161111,2.781152778,6.344556185
2016-08-08T21,3.385517023,1021.895506,28.94415908,7.811202444,12.16905832,1.370688698,2.723646209,4.873519798
2016-08-08T22,3.391926833,1021.447396,28.51655581,7.798775,12.80778167,1.382258333,3.091652778,5.362955719
2016-08-08T23,3.385771464,1021.538583,28.59266623,7.922175,12.63315972,1.502602778,3.472611111,5.313284366
2016-08-09T00,3.361582921,1021.897463,28.89265487,8.032282699,11.94175507,1.611885587,3.017286865,4.699231395
2016-08-09T01,3.365544012,1022.210088,29.21149965,8.355143095,11.58105085,1.505621006,2.465059739,4.326508341
2016-08-09T02,3.373018677,1022.325139,29.34032016,8.893026681,11.50870372,1.388924402,2.06897582,4.221829677
2016-08-09T03,3.372790573,1022.402671,29.41561688,9.334974972,11.4107728,1.321640712,1.877085651,4.126277996
2016-08-09T04,3.37702922,1022.496137,29.51733022,9.607640669,11.33442813,1.282632312,1.945278552,4.025953236
2016-08-09T05,3.375707155,1022.329143,29.34694057,9.567859131,11.53268597,1.449276169,2.201315423,4.183692367
2016-08-09T06,3.384061165,1022.242383,29.28042149,9.324090656,11.7141916,1.605386541,1.967561179,4.322489299
2016-08-09T07,3.391242778,1021.439008,28.50525612,8.915306859,12.82364121,2.335956679,2.452054985,5.269429396
2016-08-09T08,3.418954167,1020.860358,28.00557886,8.506097222,13.83266639,3.898272805,3.144333333,6.177889763
2016-08-09T09,3.427602806,1021.18457,28.3403481,8.149091667,13.48436556,1.048763889,3.278333333,5.76291619
2016-08-09T10,3.431960872,1021.201526,28.36788848,7.902324354,13.50098612,0.84016662,3.407713135,5.764908329
2016-08-09T11,3.433904972,1021.232871,28.40350543,7.768583333,13.47728833,0.922244444,3.429840278,5.770677528
2016-08-09T12,3.389979366,1021.546228,28.61021768,7.744587615,12.66084004,0.947942238,2.676083032,5.10737568
2016-08-09T13,3.370925278,1021.814027,28.83187364,7.719552778,12.13633472,0.879077778,2.571868056,4.683584723
2016-08-09T14,3.374165656,1022.238439,29.26024596,7.953601224,11.62450973,0.86455228,2.121398776,4.269463563
2016-08-09T15,3.375024763,1022.283903,29.30573879,8.357387061,11.57707585,0.76196319,1.971381762,4.245149821
2016-08-09T16,3.376907446,1022.354026,29.37870292,8.656223658,11.50769373,0.658156786,2.189863726,4.210009021
2016-08-09T17,3.379543497,1022.458563,29.48854395,8.814620573,11.40591231,0.605803822,2.40559303,4.130786805
2016-08-09T18,3.383599638,1022.286338,29.32481353,8.738800445,11.65711801,0.686095185,1.947279432,4.326980473
2016-08-09T19,3.412028194,1021.726918,28.83692837,8.556802115,12.64164236,0.740489841,1.497404676,5.073895797
2016-08-09T20,3.4472965,1021.072109,28.27686435,8.338825,13.81415944,0.809719444,2.404534722,6.08157924
2016-08-09T21,3.467163566,1020.640324,27.91114002,8.187845043,14.56398528,0.861060816,2.979679256,6.716399994
2016-08-09T22,3.460961667,1020.868052,28.11371708,8.117688889,14.20608611,1.247795998,3.441756944,6.315764987
2016-08-09T23,3.444109639,1021.283877,28.47476276,8.157225,13.5071175,0.824541667,3.273243056,5.858641625
2016-08-10T00,3.419813385,1021.691296,28.8177147,8.286098306,12.75578367,0.940397112,3.230227715,5.273502503
2016-08-10T01,3.39451575,1021.667599,28.73640697,8.443205556,12.55085667,0.926777778,3.000090278,5.031892368
2016-08-10T02,3.361661913,1021.951987,28.94359856,8.734834584,11.87594245,0.810175146,2.105733945,4.495974136
2016-08-10T03,3.383755156,1022.204531,29.24154655,9.133525641,11.76462319,0.736114827,1.809064939,4.392725466
2016-08-10T04,3.383715164,1022.25858,29.29405448,9.440358932,11.69722176,0.690795771,2.096988036,4.313497033
2016-08-10T05,3.384610983,1022.345132,29.3820553,9.571356122,11.59673774,0.642967218,2.197856542,4.198867734
2016-08-10T06,3.387760645,1022.220355,29.26454595,9.44598388,11.78394553,0.778916064,3.724539269,4.33498591
