Time UTC, Oxygen Concentration Corrected (ml/l), Oxygen Concentration Corrected QC Flag, Oxygen Concentration Corrected Count, Corrected Heading (mobile position/attitude sensor) (deg), Corrected Heading (mobile position/attitude sensor) QC Flag, Corrected Heading (mobile position/attitude sensor) Count, True Heading (mobile position/attitude sensor) (deg), True Heading (mobile position/attitude sensor) QC Flag, True Heading (mobile position/attitude sensor) Count
2012-10-18T21,3.1815,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T22,3.17575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-18T23,3.19225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T00,3.204,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T01,3.24175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T02,3.21225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T03,3.20475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T04,3.20325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T05,3.2045,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T06,3.2175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T07,3.2895,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T08,3.3465,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T09,3.351,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T10,3.362,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T11,3.378,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T12,3.40175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T13,3.412,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T14,3.355,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T15,3.29525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T16,3.291,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T17,3.27925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T18,3.28025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T19,3.28425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T20,3.292,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T21,3.27975,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T22,3.2775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-19T23,3.2855,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T00,3.2925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T01,3.299,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T02,3.31975,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T03,3.35225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T04,3.342,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T05,3.3235,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T06,3.31,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T07,3.322,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T08,3.3865,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T09,3.43625,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T10,3.4655,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T11,3.4555,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T12,3.45975,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T13,3.46825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T14,3.48075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T15,3.39875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T16,3.3775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T17,3.3855,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T18,3.3795,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T19,3.363,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T20,3.355,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T21,3.36475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T22,3.3645,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-20T23,3.38075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T00,3.37725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T01,3.37875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T02,3.3875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T03,3.3815,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T04,3.39425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T05,3.4115,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T06,3.428,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T07,3.431,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T08,3.42525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T09,3.432,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T10,3.469,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T11,3.47,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T12,3.4675,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T13,3.473,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T14,3.47125,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T15,3.465,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T16,3.43825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T17,3.4205,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T18,3.4215,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T19,3.4135,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T20,3.413,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T21,3.42175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T22,3.42625,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-21T23,3.42275,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T00,3.424,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T01,3.42325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T02,3.4285,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T03,3.4425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T04,3.44125,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T05,3.45175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T06,3.47175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T07,3.4835,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T08,3.4775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T09,3.45575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T10,3.4585,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T11,3.45875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T12,3.45925,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T13,3.46575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T14,3.483,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T15,3.478,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T16,3.495,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T17,3.482,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T18,3.4705,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T19,3.474,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T20,3.47225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T21,3.4755,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T22,3.48525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-22T23,3.48325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T00,3.468,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T01,3.4665,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T02,3.462,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T03,3.4775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T04,3.479,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T05,3.4875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T06,3.49575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T07,3.51225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T08,3.5125,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T09,3.51025,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T10,3.50575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T11,3.48875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T12,3.49625,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T13,3.49725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T14,3.51525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T15,3.519,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T16,3.51175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T17,3.5275,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T18,3.544,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T19,3.52825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T20,3.52175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T21,3.52475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T22,3.52575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-23T23,3.5175,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T00,3.5135,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T01,3.49375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T02,3.51,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T03,3.505,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T04,3.51525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T05,3.52075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T06,3.52325,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T07,3.49975,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T08,3.513,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T09,3.509,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T10,3.51725,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T11,3.522,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T12,3.5065,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T13,3.5285,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T14,3.53575,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T15,3.5405,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T16,3.54075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T17,3.5415,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T18,3.58075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T19,3.572,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T20,3.5475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T21,3.519,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T22,3.50225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-24T23,3.5095,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T00,3.508,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T01,3.50875,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T02,3.49825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T03,3.512,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T04,3.52375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T05,3.513,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T06,3.532,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T07,3.53375,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T08,3.558,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T09,3.57075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T10,3.56425,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T11,3.55475,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T12,3.56625,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T13,3.571,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T14,3.559,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T15,3.569,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T16,3.56525,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T17,3.56075,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T18,3.56775,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T19,3.59225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T20,3.567,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T21,3.53225,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T22,3.49825,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-25T23,3.506,7.0,4.0,,9.0,0.0,,9.0,0.0
2012-10-26T00,3.50375,7.0,4.0,,9.0,0.0,,9.0,0.0
